"Area Served","Callsign","Frequency(MHz)","Purpose","Polarisation","Antenna Height (m)","Antenna Pattern","Maximum ERP (W)","Technical Specification Number","Licence Number","Site id","Site Name","Zone","Easting","Northing","Latitude","Longitude","State","BSL","Licence Area","Licence Area ID","Status"
"Adelaide Foothills","5MBS","99.9","Community","M","40","DA","400","1134392","1170716","22643","ETSA Utilities Tower 1 Main Road BELAIR","0","0","0","34 59 56S","138 37 21E","SA","1150742","ADELAIDE FOOTHILLS RA1","","Issued"
"Adelaide River","8MIX","98.1","Commercial","M","17","OD","50","1136891","1159357","140789","Council Site Lot 207 off Dorat Rd (Access Rd) ADELAIDE RIVER","0","0","0","13 14 41S","131 6 33E","NT","10168","DARWIN RA1","","Issued"
"Adelaide River","8ABCRR","98.9","National","M","16","OD","50","10003336","1198394","1736","Broadcast Australia Site Lot 161 off Dorat Rd (Access Rd) ADELAIDE RIVER","0","0","0","13 14 40S","131 6 33E","NT","","","","Issued"
"Adelaide River","8ABCRN","100.5","National","M","16","OD","50","10003335","1198395","1736","Broadcast Australia Site Lot 161 off Dorat Rd (Access Rd) ADELAIDE RIVER","0","0","0","13 14 40S","131 6 33E","NT","","","","Issued"
"Adelaide River","8JJJ","101.3","Retransmission","M","17","OD","50","10005143","1159562","140789","Council Site Lot 207 off Dorat Rd (Access Rd) ADELAIDE RIVER","0","0","0","13 14 41S","131 6 33E","NT","","","","Issued"
"Adelaide River","8HOT","102.1","Commercial","M","17","OD","50","1136890","1159356","140789","Council Site Lot 207 off Dorat Rd (Access Rd) ADELAIDE RIVER","0","0","0","13 14 41S","131 6 33E","NT","10167","DARWIN RA1","","Issued"
"Adelaide SW Suburbs","5CST","88.7","Community","V","25","DA","600","3367001","1385197","23192","Hall Site Majors Road TROTT PARK","0","0","0","35 3 18S","138 32 21E","SA","5316","ADELAIDE SW RA1","","Issued"
"Adelong","2TVR","94.1","Community","M","10","OD","20","1136300","1934976","41186","Broadcast Site 3 km ENE of ADELONG","0","0","0","35 18 17S","148 5 41E","NSW","1150803","TUMUT RA1","","Issued"
"Agnes Water","4CC","98.3","Commercial","M","30","OD","250","10013396","1159628","16893","Nixon Site Reservoir Seaspray Drive AGNES WATER","0","0","0","24 12 58S","151 53 45E","QLD","4171","ROCKHAMPTON RA1","","Issued"
"Airlie Beach","4ABCRR","89.9","National","M","17","OD","160","5507003","1198672","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","","","","Issued"
"Airlie Beach","4MMK","90.7","Commercial","M","20","OD","250","10007569","1144032","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","1150018","MACKAY RA1","","Issued"
"Airlie Beach","4AA","91.5","Commercial","M","20","OD","250","4181602","1144683","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","4181","MACKAY RA1","","Issued"
"Airlie Beach","4RGM","92.3","Commercial","M","20","OD","250","10008027","1170505","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","1150089","MACKAY RA1","","Issued"
"Airlie Beach","4ABCRN","93.1","National","M","17","OD","160","1562002","1198677","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","","","","Issued"
"Airlie Beach","4PNN","93.9","National","M","17","OD","250","1130979","1565005","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","","","","Issued"
"Airlie Beach","4MKY","94.7","Commercial","M","20","OD","250","1964002","1151246","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","1964","MACKAY RA1","","Issued"
"Airlie Beach","4ABCFM","95.5","National","M","17","OD","160","7471001","1198682","142344","BA monopole Shingle Beach Hill off Kara Crescent AIRLIE BEACH","0","0","0","20 16 23S","148 42 37E","QLD","","","","Issued"
"Albany","","93.7","HPON","M","90","OD","5000","10002400","1171006","141768","Broadcast Site Communications Hut MOUNT BARKER","0","0","0","34 39 25S","117 38 49E","WA","","","","Issued"
"Albany","6AAY","95.3","Commercial","V","88","DA","50000","10002401","1152734","41036","Broadcast Australia Site Tower Road MT BARKER","0","0","0","34 39 21S","117 38 51E","WA","10041","ALBANY RA1","","Issued"
"Albany","6CRA","100.9","Community","V","35","DA","8000","10000047","1153509","601882","Community Radio Site Mt Clarence  off Apex Drv MOUNT CLARENCE","0","0","0","35 1 29S","117 53 41E","WA","10042","ALBANY RA2","","Issued"
"Albany Town","","104.9","HPON","V","15","OD","100","10000046","1152693","28477","Telstra Mast  City of Albany Site Mt Melville  off Melville Drv MOUNT MELVILLE","0","0","0","35 1 4S","117 52 15E","WA","","","","Issued"
"Albany Town","6AAY","106.5","Commercial","V","10","OD","100","10002402","1152733","28477","Telstra Mast  City of Albany Site Mt Melville  off Melville Drv MOUNT MELVILLE","0","0","0","35 1 4S","117 52 15E","WA","10041","ALBANY RA1","","Issued"
"Albury","","99.3","HPON","V","10","OD","10","10007964","1154767","34995","Commercial club Albury 618 Dean St ALBURY","0","0","0","36 4 48S","146 54 49E","NSW","","","","Issued"
"Albury","2APH","101.7","Community","M","30","OD","2000","10005693","1170090","134100","Axicom Site One Tree Hill  207 Tower Lane SPRINGDALE HEIGHTS","0","0","0","36 1 12S","146 57 43E","NSW","10372","ALBURY RA2","","Issued"
"Albury","2AAY","104.9","Commercial","M","60","DA","100000","10004577","1384929","11949","Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA","0","0","0","36 15 13S","146 51 18E","VIC","10289","ALBURY RA1","","Issued"
"Albury","2BDR","105.7","Commercial","M","60","DA","100000","10003493","1154677","11949","Broadcast Australia Tower Mt Baranduda  623 Ewarts Rd LENEVA","0","0","0","36 15 13S","146 51 18E","VIC","1150011","ALBURY RA1","","Issued"
"Albury","2REM","107.3","Community","M","30","OD","2000","10005704","1139638","134100","Axicom Site One Tree Hill  207 Tower Lane SPRINGDALE HEIGHTS","0","0","0","36 1 12S","146 57 43E","NSW","10386","ALBURY RA2","","Issued"
"Alexandra","3ABCRR","102.9","National","M","20","DA","3000","10006075","1152098","40660","Broadcast Site Burgess Rd YARCK","0","0","0","37 4 36S","145 34 23E","VIC","","","","Issued"
"Alexandra","3ABCRN","104.5","National","M","20","DA","3000","10006074","1152104","40660","Broadcast Site Burgess Rd YARCK","0","0","0","37 4 36S","145 34 23E","VIC","","","","Issued"
"Alexandra/Eildon","3SUN","93.7","Commercial","M","30","OD","1000","1137748","10407539","42163","Dept of Conservation Site DEVILS RIVER","0","0","0","37 12 33S","145 50 30E","VIC","10389","SHEPPARTON RA1","","Issued"
"Alexandra/Eildon","3UGE","106.9","Community","M","30","OD","1000","10006078","1154825","42163","Dept of Conservation Site DEVILS RIVER","0","0","0","37 12 33S","145 50 30E","VIC","10411","ALEXANDRA/EILDON RA1","","Issued"
"Alexandra/Eildon","3UGE","106.9","Community","M","20","OD","400","10006078","1154825","137846","3UGE Studios 37A Perkins Street ALEXANDRA","0","0","0","37 11 28S","145 42 37E","VIC","10411","ALEXANDRA/EILDON RA1","","Issued"
"Alexandria","8ABCRR","105.5","Retransmission","V","12","OD","20","10010492","1156418","2352","The North Australia Pastoral Co Broadcast Site Alexandria Homestead ALEXANDRIA","0","0","0","19 3 22S","136 42 31E","NT","","","","Issued"
"Ali Curung","8KIN","103.7","Community","V","25","OD","20","10002283","1385271","3026","Broadcast Site Jungarrayi Street ALI CURUNG","0","0","0","21 0 9S","134 24 26E","NT","10181","CENTRAL ZONE RA2","","Issued"
"Ali Curung","8ACR","106.1","Community","V","25","OD","20","10002282","11203783","3026","Broadcast Site Jungarrayi Street ALI CURUNG","0","0","0","21 0 9S","134 24 26E","NT","10110","ALI CURUNG RA1","","Issued"
"Alice Springs","8JJJ","94.9","National","M","13","OD","400","10003990","1198406","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","","","","Issued"
"Alice Springs","","95.9","HPON","M","20","OD","1000","10004014","1153490","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","","","","Issued"
"Alice Springs","8SUN","96.9","Commercial","V","7","OD","400","10002362","1384923","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","10145","ALICE SPRINGS RA1","","Issued"
"Alice Springs","8ABCFM","97.9","National","M","13","OD","800","10002363","1198389","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","","","","Issued"
"Alice Springs","","98.7","HPON","M","20","OD","1000","10004214","1170814","570486","Optus Site West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 27E","NT","","","","Issued"
"Alice Springs","8ABCRN","99.7","National","M","13","OD","400","10002351","1198390","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","","","","Issued"
"Alice Springs","8KIN","100.5","Community","M","20","OD","800","10002364","1385237","570486","Optus Site West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 27E","NT","10181","CENTRAL ZONE RA2","","Issued"
"Alice Springs","8CCC","102.1","Community","V","35","DA","400","10002365","10402087","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","10179","ALICE SPRINGS RA2","","Issued"
"Alice Springs","8PNN","104.1","National","M","13","OD","1000","1132880","1566059","53447","Air Services Tower West Gap ALICE SPRINGS","0","0","0","23 43 21S","133 51 25E","NT","","","","Issued"
"Alpha","4RBL","95.9","Commercial","V","30","OD","100","10003647","1158251","153286","Water Tower 54 Byron St ALPHA","0","0","0","23 39 4S","146 37 51E","QLD","10216","REMOTE COMMERCIAL RADIO SERVICE NORTH EAST ZONE RA1","","Issued"
"Alpha","","100.7","HPON","M","70","OD","25","10004026","1171073","153286","Water Tower 54 Byron St ALPHA","0","0","0","23 39 4S","146 37 51E","QLD","","","","Issued"
"Alpha","4SBSFM","102.3","Retransmission","V","40","OD","30","1133251","1916236","153286","Water Tower 54 Byron St ALPHA","0","0","0","23 39 4S","146 37 51E","QLD","","","","Issued"
"Alpha","4QD","105.7","National","M","70","OD","50","10003846","1198707","140012","BAI Comms Site Lot 117 off Clermont-Alpha Road ALPHA","0","0","0","23 37 4S","146 37 48E","QLD","","","","Issued"
"Alpha","4ABCRN","107.3","National","M","70","OD","50","10003845","1198739","140012","BAI Comms Site Lot 117 off Clermont-Alpha Road ALPHA","0","0","0","23 37 4S","146 37 48E","QLD","","","","Issued"
"Alyangula","8JJJ","98.1","Retransmission","V","30","OD","500","1132991","1904737","10021980","GEMCO Site Cypress Rd ALYANGULA","0","0","0","13 51 2S","136 25 31E","NT","","","","Issued"
"Alyangula","8KIN","102.1","Community","V","20","OD","200","10003108","1385238","3138","BAI Comms Site Cypress Road ALYANGULA","0","0","0","13 51 1S","136 25 31E","NT","10181","CENTRAL ZONE RA2","","Issued"
"Alyangula","8ABCRR","106.1","National","M","40","OD","160","10003173","1198361","3138","BAI Comms Site Cypress Road ALYANGULA","0","0","0","13 51 1S","136 25 31E","NT","","","","Issued"
"Alyangula","8ABCRN","107.7","National","M","33","OD","160","10003172","1198368","3138","BAI Comms Site Cypress Road ALYANGULA","0","0","0","13 51 1S","136 25 31E","NT","","","","Issued"
"Amata","5ACR","106.1","Community","V","10","OD","10","10002887","10762611","153308","PY Media Site 54 Purara St AMATA","0","0","0","26 9 0S","131 8 46E","SA","10150","AMATA RA1","","Issued"
"Amrun","4ABCRR","93.3","Retransmission","V","60","DA","50","12000057","10101121","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","","94.1","Retransmission","V","60","DA","50","12000130","10101221","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","4RBL","94.9","Retransmission","V","60","DA","50","12000053","10101233","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","4BRZ","97.3","Retransmission","V","60","DA","50","12000054","10101224","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","4JJJ","98.1","Retransmission","V","60","DA","50","12000055","10101215","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","4ABCFM","98.9","Retransmission","V","60","DA","50","12000058","10101039","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Amrun","4ABCRN","99.7","Retransmission","V","60","DA","50","12000056","10101202","10001591","Amrun MIA Tower Hey River Amrun Road AMRUN","0","0","0","12 55 43S","141 38 2E","QLD","","","","Issued"
"Andamooka","5ABCRR","105.9","National","M","36","OD","50","10002897","1198429","25545","Telstra Site Hallion Hill Rd ANDAMOOKA","0","0","0","30 28 24S","137 9 60E","SA","","","","Issued"
"Andamooka","5ABCRN","107.5","National","M","36","OD","50","10002898","1198437","25545","Telstra Site Hallion Hill Rd ANDAMOOKA","0","0","0","30 28 24S","137 9 60E","SA","","","","Issued"
"Angaston","5ABCFM","90.7","Retransmission","V","15","OD","100","10005857","10066918","24206","Council Site Water Tank Tappa Pass ANGASTON","0","0","0","34 29 43S","139 3 43E","SA","","","","Issued"
"Angaston","5SBSFM","92.3","Retransmission","V","15","OD","100","1137792","10066829","24206","Council Site Water Tank Tappa Pass ANGASTON","0","0","0","34 29 43S","139 3 43E","SA","","","","Issued"
"Angaston","5DN","94.7","Retransmission","V","15","OD","100","10008574","10066919","24206","Council Site Water Tank Tappa Pass ANGASTON","0","0","0","34 29 43S","139 3 43E","SA","","","","Issued"
"Apollo Bay","3OCR","88.7","Community","V","6","OD","100","1133388","1922753","142289","Apollo Bay Shire Office 69 Nelson Street APOLLO BAY","0","0","0","38 45 33S","143 39 51E","VIC","1150491","COLAC RA1","","Issued"
"Apollo Bay","3ABCRR","89.5","National","M","24","OD","200","10010463","1156894","140223","BAI Comms Site 30 Roberts Rd MARENGO","0","0","0","38 46 48S","143 39 5E","VIC","","","","Issued"
"Apollo Bay","3CCS","95.9","Commercial","M","40","DA","250","10009649","1170432","36808","Comms Site off Skenes Creek Rd TANYBRYN","0","0","0","38 40 23S","143 43 22E","VIC","10309","COLAC RA1","","Issued"
"Apollo Bay","8SAT","97.9","Commercial","M","25","OD","250","1136609","1990198","140223","BAI Comms Site 30 Roberts Rd MARENGO","0","0","0","38 46 48S","143 39 5E","VIC","10147","REMOTE COMMERCIAL RADIO SERVICE CENTRAL ZONE RA1","","Issued"
"Aramac","4LRE","98.1","Retransmission","V","30","OD","50","1136799","1950047","140256","SES site cnr of Porter Street and Aramac-Muttaburra Road ARAMAC","0","0","0","22 58 5S","145 14 35E","QLD","","","","Issued"
"Aramac","4SBSFM","99.7","Retransmission","V","30","OD","30","1133813","1930088","140256","SES site cnr of Porter Street and Aramac-Muttaburra Road ARAMAC","0","0","0","22 58 5S","145 14 35E","QLD","","","","Issued"
"Aramac","4ABCRN","107.9","National","M","32","OD","50","10003847","1198782","151621","Broadcast Australia Site McAuliffe Street ARAMAC","0","0","0","22 57 56S","145 14 52E","QLD","","","","Issued"
"Ararat","","92.9","HPON","M","30","OD","50","10004792","1170746","11729","Telstra Radio Terminal Site One Tree Hill Rd ARARAT","0","0","0","37 16 13S","142 53 31E","VIC","","","","Issued"
"Ararat","3WWM","98.5","Commercial","V","25","DA","1000","10008708","1154856","11729","Telstra Radio Terminal Site One Tree Hill Rd ARARAT","0","0","0","37 16 13S","142 53 31E","VIC","10308","HORSHAM RA1","","Issued"
"Argyle","6FMS","102.7","Commercial","M","20","OD","80","10001401","1384897","32438","Broadcast Site Diamond Mine ARGYLE","0","0","0","16 42 35S","128 23 44E","WA","10354","REMOTE COMMERCIAL RADIO SERVICE WESTERN ZONE RA1","","Issued"
"Argyle","6WR","104.3","Community","M","25","OD","50","10001400","1154066","32438","Broadcast Site Diamond Mine ARGYLE","0","0","0","16 42 35S","128 23 44E","WA","10355","KUNUNURRA RA1","","Issued"
"Argyle","6KW","105.9","National","M","21","OD","50","10001399","1198511","32438","Broadcast Site Diamond Mine ARGYLE","0","0","0","16 42 35S","128 23 44E","WA","","","","Issued"
"Argyle","6ABCRN","107.5","National","M","21","OD","50","10001398","1198535","32438","Broadcast Site Diamond Mine ARGYLE","0","0","0","16 42 35S","128 23 44E","WA","","","","Issued"
"Ariah Park","2TEM","106.9","s212 Retransmission","M","15","OD","50","12000808","11162151","10022700","Ariah Park Memorial Hall 17 Pitt Street ARIAH PARK","0","0","0","34 20 52S","147 13 12E","NSW","","","","Issued"
"Armadale","6HFM","107.3","Community","V","26","DA","200","10010711","10125348","10002544","Radio 6HFM Mast Cmty Radio Site off Mills Road East MARTIN","0","0","0","32 5 33S","116 2 5E","WA","1150745","ARMADALE RA1","","Issued"
"Armidale","2ARM","92.1","Community","M","20","OD","2000","3040001","1171717","280229","Broadcast Site Translator Road KELLYS PLAIN","0","0","0","30 32 39S","151 39 6E","NSW","3040","ARMIDALE RA2","","Issued"
"Armidale","2NEB","100.3","Commercial","M","30","OD","10000","10004773","1152598","6684","Prime Tower Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 34S","151 36 5E","NSW","10316","ARMIDALE RA1","","Issued"
"Armidale","2JJJ","101.1","National","M","60","OD","10000","10007939","1153032","6645","Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 38S","151 36 7E","NSW","","","","Issued"
"Armidale","2NWR","101.9","National","M","60","OD","10000","10005059","1198628","6645","Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 38S","151 36 7E","NSW","","","","Issued"
"Armidale","2PNN","102.7","National","M","60","OD","4000","1131132","1915829","6645","Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 38S","151 36 7E","NSW","","","","Issued"
"Armidale","2ABCFM","103.5","National","M","60","OD","10000","10005057","1198637","6645","Telstra Tower (Old Co-ords) Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 38S","151 36 7E","NSW","","","","Issued"
"Armidale","","104.3","HPON","M","75","OD","10000","10007760","1170010","6684","Prime Tower Little Duval Mtn  Exmouth Rd DUMARESQ","0","0","0","30 22 34S","151 36 5E","NSW","","","","Issued"
"Armidale","","106.9","HPON","V","10","OD","10","10008033","1155112","250472","Broadcast Site CB Newling Bldg Mossman St ARMIDALE","0","0","0","30 31 24S","151 39 48E","NSW","","","","Issued"
"Arthurton","5GFM","89.3","Community","V","30","DA","5000","10010706","1170718","142576","Broadcast Site Lot 649 Kadina Road KADINA","0","0","0","33 56 54S","137 40 14E","SA","1150769","YORKE PENINSULA RA1","","Issued"
"Ashford","2ABCRR","107.9","National","M","52","OD","50","10004276","1153103","6881","Broadcast Australia site Ashford-Bukkulla Rd  2.4km ESE of ASHFORD","0","0","0","29 19 47S","151 7 8E","NSW","","","","Issued"
"Atherton","","88.7","HPON","M","10","DA","2000","10007660","1154760","152887","Coastal Broadcasters Site Bones Knob  off Griffin Rd TOLGA","0","0","0","17 13 23S","145 26 50E","QLD","","","","Issued"
"Atherton","4AMM","97.9","Commercial","M","50","DA","5000","10007503","1155350","141069","Sthrn Cross Austereo Site Bones Knob  off Griffin Rd TOLGA","0","0","0","17 13 21S","145 26 51E","QLD","1150016","ATHERTON RA1","","Issued"
"Atherton","","99.1","HPON","M","10","DA","2000","10007733","1154757","152887","Coastal Broadcasters Site Bones Knob  off Griffin Rd TOLGA","0","0","0","17 13 23S","145 26 50E","QLD","","","","Issued"
"Augathella","4RR","104.5","s212 Retransmission","V","60","OD","100","12000525","10551964","150016","Broadcast Site Water tower  Forest Street AUGATHELLA","0","0","0","25 47 43S","146 35 15E","QLD","","","","Issued"
"Augathella","4VL","106.1","Commercial","M","64","OD","100","10013411","10437430","150016","Broadcast Site Water tower  Forest Street AUGATHELLA","0","0","0","25 47 43S","146 35 15E","QLD","10218","CHARLEVILLE RA1","","Issued"
"Augathella","4VL","106.1","Commercial","M","64","OD","100","10013411","1159213","150016","Broadcast Site Water tower  Forest Street AUGATHELLA","0","0","0","25 47 43S","146 35 15E","QLD","10218","CHARLEVILLE RA1","","Expired"
"Augathella","4ABCRN","107.7","National","M","64","OD","100","10003848","1198762","15322","BA Site 1 km SE of AUGATHELLA","0","0","0","25 48 23S","146 35 20E","QLD","","","","Issued"
"Augusta","6AUG","97.1","Community","V","25","OD","200","1133510","1171969","137492","Augusta Telecentre Building 66 Allnutt Terrace AUGUSTA","0","0","0","34 18 51S","115 9 22E","WA","1130119","AUGUSTA RA1","","Issued"
"Augusta","6ABCRR","98.3","National","M","30","OD","40","10002268","1198498","40725","Broadcast Australia Site Lot 862 Leeuwin Rd AUGUSTA","0","0","0","34 19 39S","115 9 44E","WA","","","","Issued"
"Augusta","6ABCRN","99.1","National","M","30","OD","40","10002269","1198501","40725","Broadcast Australia Site Lot 862 Leeuwin Rd AUGUSTA","0","0","0","34 19 39S","115 9 44E","WA","","","","Issued"
"Augusta","6TZ/T","101.5","Commercial","V","20","OD","80","1133501","1936948","151058","Nominal Planning Site Lot 862 Leeuwin Rd AUGUSTA","0","0","0","34 19 26S","115 9 35E","WA","10404","BUNBURY RA1","","Expired"
